"name","series","age","occupation","hometown","first_name","episode","technical","result","signature","show_stopper"
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","8",3,"IN",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","9",4,"STAR BAKER",NA,NA
"Alice Fevronia","10",28,"Geography teacher","Essex","Alice","10",2,"Runner-up",NA,NA
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","1",2,"IN","Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau"
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","2",6,"IN","Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps"
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","3",4,"IN","Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia"
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","4",9,"IN","Blackberry Crème Brûlées","Tower of Fruits Cheesecakes"
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","5",8,"IN","Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","6",6,"OUT","Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents"
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","7",NA,NA,NA,NA
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","8",NA,NA,NA,NA
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","9",NA,NA,NA,NA
"Alvin Magallanes","6",37,"Nurse","Bracknell, Berkshire","Alvin","10",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","1",4,"IN",NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","2",9,"IN",NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","3",11,"OUT",NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","4",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","5",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","6",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","7",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","8",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","9",NA,NA,NA,NA
"Amelia LeBruin","10",24,"Fashion designer","Halifax","Amelia","10",NA,NA,NA,NA
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","1",12,"IN","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","2",4,"IN","Beehive Biscuits","Punting in Cambridge"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","3",2,"IN","Chocolate Barmbrack Bread","Braided Harvest Bread Basket"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","4",4,"IN","Yorkshire 'Tapas' Puddings","Churros Window Box"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","5",6,"IN","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","6",6,"IN","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","7",1,"STAR BAKER","Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","8",2,"IN","Da Vinci Inspired Geared Pies","Jousting Knights Marchpane"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","9",2,"STAR BAKER","Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants"
"Andrew Smyth","7",25,"Aerospace engineer","Derby / Holywood, County Down","Andrew","10",1,"Runner-up","Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic"
"Annetha Mills","1",30,"Midwife","Essex","Annetha","1",2,"IN","Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
"Annetha Mills","1",30,"Midwife","Essex","Annetha","2",7,"OUT","Rose Petal Shortbread","Pink Swirl Macarons / Eclairs"
"Annetha Mills","1",30,"Midwife","Essex","Annetha","3",NA,NA,NA,NA
"Annetha Mills","1",30,"Midwife","Essex","Annetha","4",NA,NA,NA,NA
"Annetha Mills","1",30,"Midwife","Essex","Annetha","5",NA,NA,NA,NA
"Annetha Mills","1",30,"Midwife","Essex","Annetha","6",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","1",12,"IN",NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","2",9,"IN",NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","3",8,"OUT",NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","4",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","5",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","6",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","7",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","8",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","9",NA,NA,NA,NA
"Antony Amourdoux","9",30,"Banker","London","Antony","10",NA,NA,NA,NA
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","1",8,"IN","Grapefruit Sandwich Cake","Chocolate Cherry Indulgence"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","2",11,"IN","Fennel and Chilli Breadsticks","Five Strand Christmas Wreath"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","3",10,"IN","Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","4",2,"IN","Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","5",5,"IN","Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","6",6,"IN","Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","7",1,"IN","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","8",4,"IN","Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","9",3,"OUT","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake"
"Beca Lyne-Pirkis","4",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Beca","10",NA,NA,NA,NA
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","1",2,"IN","Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream"
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","2",1,"IN","Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts"
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","3",3,"IN","Walnut, Raisin and Rosemary Loaf","UNKNOWN"
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","4",5,"OUT","Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons"
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","5",NA,NA,NA,NA
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","6",NA,NA,NA,NA
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","7",NA,NA,NA,NA
"Ben Frazer","2",31,"Graphic Designer","Northampton","Ben","8",NA,NA,NA,NA
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","1",6,"IN","Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","2",3,"IN","Bouquet Biscuits","New York, New York"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","3",6,"IN","Chocolate, Tahini and Almond Babka","Braided Bread Heart"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","4",1,"STAR BAKER","Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","5",5,"IN","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","6",2,"IN","Grapefruit and Ginger Meringue Pie","Floral Tea Cake"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","7",3,"IN","Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","8",4,"OUT","Mexican Adventure","Tudor Garden"
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","9",NA,NA,NA,NA
"Benjamina Ebuehi","7",23,"Teaching assistant","South London","Benjamina","10",NA,NA,NA,NA
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","1",10,"IN","Plum, Sour Cherry & Walnut","UNKNOWN"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","2",4,"IN","Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","3",9,"IN","Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","4",1,"STAR BAKER","Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","5",3,"IN","Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","6",1,"STAR BAKER","Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","7",4,"IN","Chelsea Bunskis","Black Forest Christmas Stollen"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","8",2,"IN","Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","9",3,"IN","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré"
"Brendan Lynch","3",63,"Recruitment consultant","Sutton Coldfield","Brendan","10",2,"Runner-up","Potato and Pepper Pithivier","Family Reunion Chiffon Cake"
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","1",2,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","2",5,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","3",9,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","4",5,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","5",6,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","6",1,"STAR BAKER",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","7",5,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","8",1,"IN",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","9",3,"OUT",NA,NA
"Briony Williams","9",33,"Full-time parent","Bristol","Briony","10",NA,NA,NA,NA
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","1",5,"IN","Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","2",8,"STAR BAKER","Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","3",3,"IN","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","4",2,"IN","Yorkshire Wellingtons","Two-Way Peanut Butter Churros"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","5",2,"STAR BAKER","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","6",5,"IN","Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","7",2,"IN","Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","8",1,"STAR BAKER","Cheesy Cheeky Fish Pies","Peacock"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","9",3,"IN","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies"
"Candice Brown","7",31,"PE teacher","Barton-Le-Clay, Bedfordshire","Candice","10",2,"WINNER","Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","1",5,"IN","Apple, Hazelnut and Calvados","Hidden Cupcake Cake"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","2",8,"IN","Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","3",3,"IN","Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","4",3,"IN","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","5",1,"IN","Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","6",3,"IN","Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","7",5,"IN","Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","8",5,"OUT","Cheese and Pickle Crackers","Gingerbread Buckingham Palace"
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","9",NA,NA,NA,NA
"Cathryn Dresser","3",27,"Shop assistant","Pease Pottage, West Sussex","Cathryn","10",NA,NA,NA,NA
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","1",3,"IN","Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","2",8,"IN","Fenugreek and Carom Crackers","Day On The Beach"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","3",8,"IN","Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","4",3,"IN","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","5",2,"IN","Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","6",2,"STAR BAKER","Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","7",6,"IN","Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","8",1,"IN","Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","9",4,"OUT","Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets"
"Chetna Makan","5",35,"Fashion Designer","Broadstairs, Kent","Chetna","10",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","1",12,"IN","Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake"
"Chris Geiger","8",50,"Software developer","Bristol","Chris","2",11,"OUT","Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game"
"Chris Geiger","8",50,"Software developer","Bristol","Chris","3",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","4",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","5",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","6",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","7",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","8",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","9",NA,NA,NA,NA
"Chris Geiger","8",50,"Software developer","Bristol","Chris","10",NA,NA,NA,NA
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","1",3,"IN","Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","2",4,"IN","Mediterranean Breadsticks with Oregano","Double Plaited Loaf"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","3",4,"STAR BAKER","Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","4",7,"IN","Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","5",1,"STAR BAKER","Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","6",4,"IN","Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","7",6,"IN","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","8",5,"OUT","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant"
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","9",NA,NA,NA,NA
"Christine Wallace","4",66,"Director of an engraving company","Didcot, Oxfordshire","Christine","10",NA,NA,NA,NA
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","1",4,"IN","Windfall Apple Crumble Cake","'Banana-ramen' Cake"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","2",1,"IN","'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","3",8,"IN","'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","4",8,"IN","'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Animals of the Rainforest Caramel Cake"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","5",6,"IN","Mango Fruit Hat Steamed School Pudding","'Heart of a Hero' Trifle Terrine"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","6",1,"IN","'πr2' Decorative Pies","Chequerboard Pie"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","7",5,"OUT","Cannoli Cocktails","Canadian-Style Sfogliatelle"
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","8",NA,NA,NA,NA
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","9",NA,NA,NA,NA
"Yan Tsou","8",46,"Laboratory research scientist","North London","Yan","10",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","1",8,"OUT","Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes"
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","2",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","3",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","4",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","5",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","6",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","7",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","8",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","9",NA,NA,NA,NA
"Claire Goodwin","5",31,"Speech Therapist","Ashton upon Mersey, Trafford","Claire","10",NA,NA,NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","1",4,"IN",NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","2",3,"IN",NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","3",6,"IN",NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","4",1,"STAR BAKER",NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","5",2,"IN",NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","6",6,"OUT",NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","7",NA,NA,NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","8",NA,NA,NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","9",NA,NA,NA,NA
"Dan Beasley-Harling","9",36,"Full-time parent","London","Dan","10",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","1",9,"OUT",NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","2",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","3",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","4",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","5",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","6",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","7",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","8",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","9",NA,NA,NA,NA
"Dan Chambers","10",32,"Support worker","Rotherham","Dan","10",NA,NA,NA,NA
"Danny Bryden","3",45,"Intensive care consultant","Sheffield","Danny","1",7,"IN","Plum, Ginger & Orange","UNKNOWN"
"Danny Bryden","3",45,"Intensive care consultant","Sheffield","Danny","2",3,"IN","Lime Coriander and Coconut TortillasZaatar Naan with Dukkah","UNKNOWN"
